state,restriction
South Dakota,83.93
Idaho,81.4
Utah,80.09
Oklahoma,75.89
Iowa,75.48
Wisconsin,70.71
Wyoming,70.42
Missouri,69.64
North Dakota,69.52
Arkansas,68.16
Florida,67.86
Alaska,66.85
Georgia,66.79
Alabama,63.39
Indiana,62.38
Ohio,61.96
Kansas,60.6
Tennessee,60.42
South Carolina,59.08
Nevada,57.92
Nebraska,57.59
Mississippi,57.32
Illinois,49.91
Maryland,48.1
Louisiana,47.02
New Hampshire,44.94
West Virginia,41.76
Montana,41.67
Rhode Island,39.05
Michigan,39.02
Delaware,38.72
Minnesota,38.45
North Carolina,38.33
New Mexico,37.71
Texas,37.68
Washington,37.53
Kentucky,35.77
New York,35.54
Connecticut,34.88
Virginia,34.82
Vermont,34.76
Pennsylvania,34.17
District of Columbia,33.93
Oregon,32.92
Arizona,30.98
Colorado,30.71
New Jersey,29.85
Maine,29.35
Massachusetts,24.88
California,21.73
Hawaii,17.92