,query,link,displayLink,site_probability
0,covid in babies,https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-in-babies-and-children/art-20484405,www.mayoclinic.org,0.00027566546322296977
1,covid in babies,https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children,www.hopkinsmedicine.org,0.00015752312184169704
2,covid in babies,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/pregnancy-breastfeeding.html,www.cdc.gov,0.00011814234138127276
3,covid 19 in babies,https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-in-babies-and-children/art-20484405,www.mayoclinic.org,0.0001025032598516077
4,babies and covid,https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-in-babies-and-children/art-20484405,www.mayoclinic.org,9.388773992588916e-05
5,babies with covid,https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-in-babies-and-children/art-20484405,www.mayoclinic.org,8.146007296385413e-05
6,covid in babies,https://www.healthline.com/health/baby/coronavirus-baby,www.healthline.com,6.300924873667882e-05
7,covid 19 in babies,https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children,www.hopkinsmedicine.org,5.857329134377584e-05
8,covid in babies,https://www.cdc.gov/coronavirus/2019-ncov/hcp/caring-for-newborns.html,www.cdc.gov,5.513309264459397e-05
9,babies and covid,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/pregnancy-breastfeeding.html,www.cdc.gov,5.36501371005081e-05
10,babies with covid,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/pregnancy-breastfeeding.html,www.cdc.gov,4.6548613122202364e-05
11,covid 19 in babies,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/pregnancy-breastfeeding.html,www.cdc.gov,4.392996850783188e-05
12,babies and covid,https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children,www.hopkinsmedicine.org,4.0237602825381065e-05
13,covid in babies,https://elemental.medium.com/why-babies-are-more-resilient-against-covid-19-4509023b3008,elemental.medium.com,3.938078046042426e-05
14,babies with covid,https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children,www.hopkinsmedicine.org,3.491145984165177e-05
15,covid in babies,https://www.scientificamerican.com/article/babies-mysterious-resilience-to-coronavirus-intrigues-scientists/,www.scientificamerican.com,3.150462436833941e-05
16,covid in babies,https://www.medicalnewstoday.com/articles/covid-19-symptoms-in-babies,www.medicalnewstoday.com,2.362846827625456e-05
17,covid 19 in babies,https://www.healthline.com/health/baby/coronavirus-baby,www.healthline.com,2.342931653751033e-05
18,babies and covid,https://elemental.medium.com/why-babies-are-more-resilient-against-covid-19-4509023b3008,elemental.medium.com,2.146005484020324e-05
19,covid 19 in babies,https://www.cdc.gov/coronavirus/2019-ncov/hcp/caring-for-newborns.html,www.cdc.gov,2.0500651970321538e-05
20,babies and covid,https://www.scientificamerican.com/article/babies-mysterious-resilience-to-coronavirus-intrigues-scientists/,www.scientificamerican.com,1.8777547985177834e-05
21,babies with covid,https://elemental.medium.com/why-babies-are-more-resilient-against-covid-19-4509023b3008,elemental.medium.com,1.8619445248880946e-05
22,babies with covid,https://www.scientificamerican.com/article/babies-mysterious-resilience-to-coronavirus-intrigues-scientists/,www.scientificamerican.com,1.6292014592770825e-05
23,covid in babies,https://kidshealth.org/en/parents/coronavirus-young-kids.html,kidshealth.org,1.5752312184169704e-05
24,covid 19 in babies,https://elemental.medium.com/why-babies-are-more-resilient-against-covid-19-4509023b3008,elemental.medium.com,1.464332283594396e-05
25,babies and covid,https://kidshealth.org/en/parents/coronavirus-young-kids.html,kidshealth.org,1.3412534275127025e-05
26,covid 19 in babies,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/special-populations/birth-data-on-covid-19.html,www.cdc.gov,1.1714658268755168e-05
27,babies with covid,https://www.usnews.com/news/health-news/articles/2020-11-11/newborns-are-at-low-covid-risk,www.usnews.com,1.1637153280550591e-05
28,babies and covid,https://www.usnews.com/news/health-news/articles/2020-11-11/newborns-are-at-low-covid-risk,www.usnews.com,1.073002742010162e-05
29,babies with covid,https://kidshealth.org/en/parents/coronavirus-young-kids.html,kidshealth.org,9.309722624440473e-06
30,covid 19 in babies,https://www.theatlantic.com/family/archive/2020/11/covid-19-pandemic-births-baby-bust/617149/,www.theatlantic.com,8.785993701566376e-06
31,babies and covid,https://www.medicalnewstoday.com/articles/covid-19-symptoms-in-babies,www.medicalnewstoday.com,8.047520565076213e-06
32,covid in babies,https://www.usnews.com/news/health-news/articles/2020-11-11/newborns-are-at-low-covid-risk,www.usnews.com,7.876156092084852e-06
33,babies with covid,https://www.medicalnewstoday.com/articles/covid-19-symptoms-in-babies,www.medicalnewstoday.com,6.982291968330354e-06
34,covid 19 in babies,https://www.medicalnewstoday.com/articles/covid-19-symptoms-in-babies,www.medicalnewstoday.com,5.8573291343775825e-06
35,babies and covid,https://www.cidrap.umn.edu/news-perspective/2020/10/study-finds-low-risk-infants-moms-covid-19,www.cidrap.umn.edu,5.3650137100508095e-06
36,babies with covid,https://www.healthline.com/health/baby/coronavirus-baby,www.healthline.com,4.6548613122202366e-06
37,covid 19 in babies,https://www.scientificamerican.com/article/babies-mysterious-resilience-to-coronavirus-intrigues-scientists/,www.scientificamerican.com,2.928664567188792e-06
38,babies and covid,https://www.who.int/news-room/q-a-detail/coronavirus-disease-covid-19-pregnancy-and-childbirth,www.who.int,2.6825068550254048e-06
39,babies with covid,https://www.cidrap.umn.edu/news-perspective/2020/10/study-finds-low-risk-infants-moms-covid-19,www.cidrap.umn.edu,2.3274306561101183e-06
